director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Kris Isacsson,low,profitable,low,low,low
Christopher McQuarrie,mid,profitable,mid,mid-high,mid
Des McAnuff,low,not-profitable,low,low,low
Mathieu Kassovitz,mid,profitable,mid,mid-low,high
E. Elias Merhige,low,not-profitable,low,mid-high,low
Britt Allcroft,low,not-profitable,low,low,low
Bonnie Hunt,low,not-profitable,low,mid-high,low
David Raynr,low,not-profitable,low,mid-low,low
Miguel Arteta,mid,profitable,mid,mid-high,low
Joan Chen,low,not-profitable,low,mid-low,low
Ed Harris,low,not-profitable,low,mid-high,low
Vic Sarin,low,not-profitable,low,low,low
Robert Lee King,low,not-profitable,low,mid-low,low
Nigel Cole,mid,very-profitable,high,mid-high,low
Michael Almereyda,low,not-profitable,low,mid-low,low
Kim Ki-duk,low,not-profitable,mid,high,high
Douglas Aarniokoski,low,not-profitable,low,low,low
John Ottman,low,profitable,low,low,low
Fina Torres,low,not-profitable,low,low,low
Rod Lurie,mid,not-profitable,low,mid-high,mid
Fabián Bielinsky,low,very-profitable,low,high,low
Greg Berlanti,mid,profitable,low,mid-high,mid
Karyn Kusama,mid,not-profitable,low,mid-low,mid
Davis Guggenheim,low,not-profitable,low,mid-low,low
Jay Russell,mid,profitable,mid,mid-high,low
Bruce Paltrow,low,not-profitable,low,mid-low,low
Stig Bergqvist,low,profitable,low,mid-low,low
Takeshi Kitano,low,not-profitable,low,mid-high,low
Terence Davies,low,not-profitable,low,mid-high,low
Sally Field,low,not-profitable,low,mid-low,low
Mark Piznarski,low,not-profitable,low,low,low
Jun Falkenstein,low,profitable,low,mid-high,low
Élie Chouraqui,low,not-profitable,low,mid-high,low
Craig Mazin,low,not-profitable,mid,low,high
Janusz Kaminski,low,not-profitable,low,low,low
Eric Blakeney,low,not-profitable,low,mid-low,low
Robert Luketic,mid,profitable,high,mid-low,mid
Pete Docter,mid,very-profitable,low,high,low
Richard Kelly,mid,not-profitable,low,mid-low,high
Joel Gallen,low,very-profitable,low,mid-low,low
Andrew Adamson,mid,very-profitable,mid,mid-high,mid
Terry Zwigoff,low,profitable,mid,mid-high,low
Jay Chandrasekhar,mid,profitable,mid,mid-low,high
Steve Beck,low,profitable,mid,mid-low,low
Alejandro Amenábar,low,very-profitable,high,high,low
Dennie Gordon,mid,not-profitable,low,mid-low,mid
Michael Tollin,low,not-profitable,low,mid-low,high
David Wain,low,not-profitable,mid,mid-high,low
Michael Cristofer,low,not-profitable,low,mid-low,low
Marc Forster,high,profitable,high,mid-high,mid
John Moore,mid,profitable,mid,mid-low,mid
Sharon Maguire,low,very-profitable,high,mid-high,low
Jessie Nelson,low,profitable,mid,mid-high,high
J.B. Rogers,low,very-profitable,high,mid-low,high
Bill Paxton,low,not-profitable,low,mid-high,low
Luke Greenfield,mid,profitable,high,mid-low,high
Jesse Dylan,mid,profitable,mid,mid-low,mid
Demian Lichtenstein,low,not-profitable,low,mid-low,low
Peter Chelsom,mid,profitable,mid,mid-low,high
Christophe Gans,low,profitable,low,mid-high,mid
Daniel Sackheim,low,not-profitable,low,mid-low,low
Adam Shankman,high,profitable,mid,mid-low,mid
David Mirkin,low,not-profitable,low,mid-low,low
Brad Anderson,mid,not-profitable,mid,mid-high,high
Brendan Malloy,low,not-profitable,low,mid-low,low
John Cameron Mitchell,mid,not-profitable,mid,mid-high,mid
Tom Green,low,not-profitable,low,low,low
Pat O'Connor,low,not-profitable,low,mid-high,low
Takashi Miike,low,not-profitable,mid,mid-high,mid
Gregory Poirier,low,profitable,low,low,low
Todd Field,low,very-profitable,high,high,low
Louis C.K.,low,not-profitable,low,low,low
Blair Hayes,low,not-profitable,low,mid-low,low
Stephen Chow,low,very-profitable,low,high,low
John A. Davis,low,profitable,mid,mid-low,low
Tommy O'Haver,low,not-profitable,low,mid-low,mid
Hironobu Sakaguchi,low,not-profitable,low,mid-high,low
Francine McDougall,low,not-profitable,low,mid-low,low
Lawrence Guterman,low,profitable,mid,low,high
Joe Roth,low,profitable,low,mid-low,low
Chris Nahon,low,profitable,low,mid-high,low
Henry Bean,low,not-profitable,low,mid-high,low
Richard Eyre,low,profitable,low,mid-high,low
John Stockwell,mid,not-profitable,low,mid-low,mid
Karan Johar,low,profitable,mid,high,mid
Gregor Jordan,low,not-profitable,low,mid-low,high
Tim Blake Nelson,low,not-profitable,mid,mid-high,mid
Jez Butterworth,low,not-profitable,low,mid-low,low
Jon Favreau,high,profitable,mid,mid-high,mid
Harald Zwart,mid,profitable,high,mid-low,mid
Stephen Carpenter,low,not-profitable,low,low,low
Scott McGehee,low,not-profitable,mid,mid-high,mid
Charles Herman-Wurmfeld,low,very-profitable,high,mid-low,high
Jean-Marie Poiré,low,not-profitable,low,mid-low,low
Michael Cuesta,low,profitable,low,mid-high,mid
DJ Pooh,low,not-profitable,low,low,low
Vondie Curtis-Hall,low,not-profitable,low,low,low
Chris Weitz,mid,very-profitable,high,mid-low,high
Mark Brown,low,not-profitable,low,mid-low,low
Rintaro,low,not-profitable,low,mid-high,low
Nicole Holofcener,mid,very-profitable,high,mid-high,mid
Rob Pritts,low,profitable,low,low,low
Chuck Sheetz,low,not-profitable,low,mid-high,low
Mitch Davis,low,not-profitable,low,mid-high,low
David Atkins,low,not-profitable,low,mid-low,low
Steven Shainberg,low,not-profitable,mid,mid-high,mid
Chris Wedge,mid,profitable,mid,mid-high,high
Dean DeBlois,mid,profitable,low,high,low
Rob Marshall,mid,profitable,mid,mid-high,mid
Joel Zwick,low,very-profitable,high,mid-low,high
Kurt Wimmer,low,not-profitable,low,mid-low,high
Simon Wells,low,not-profitable,low,mid-low,low
Louis Leterrier,mid,profitable,mid,mid-high,mid
Walt Becker,mid,very-profitable,mid,mid-low,high
Kelly Asbury,mid,profitable,mid,mid-low,high
Julie Taymor,mid,not-profitable,mid,mid-high,high
George Clooney,mid,profitable,high,mid-high,high
Yimou Zhang,mid,profitable,mid,mid-high,high
Ellory Elkayem,low,not-profitable,low,low,low
Mark Romanek,low,profitable,mid,mid-high,low
Eli Roth,mid,very-profitable,high,mid-low,mid
Ed Decter,low,profitable,low,mid-low,low
Andrew Lau,low,not-profitable,low,high,low
Denzel Washington,mid,profitable,low,mid-high,low
Jonas Åkerlund,low,not-profitable,low,mid-high,low
Park Chan-Wook,mid,profitable,mid,high,mid
Marc Lawrence,mid,profitable,mid,mid-low,high
Justin Lin,mid,very-profitable,high,mid-high,mid
Shawn Levy,high,profitable,mid,mid-low,mid
Perry Andelin Blake,low,profitable,low,low,low
Charles Stone III,low,profitable,low,mid-low,low
Marcus Raboy,low,profitable,low,mid-low,low
John Lee Hancock,mid,profitable,high,mid-high,mid
Guy Ritchie,mid,profitable,mid,mid-high,high
Lucky McKee,low,not-profitable,low,mid-high,low
Jesse Vaughan,low,not-profitable,low,low,low
Callie Khouri,low,not-profitable,mid,mid-low,low
Kevin Donovan,low,not-profitable,low,low,low
John Polson,low,profitable,low,mid-low,mid
Burr Steers,mid,profitable,high,mid-low,mid
Peter Kosminsky,low,not-profitable,low,mid-high,low
D.J. Caruso,mid,profitable,mid,mid-low,mid
Takashi Shimizu,mid,very-profitable,high,mid-low,high
Tim Story,high,profitable,mid,mid-low,mid
Niki Caro,mid,very-profitable,high,mid-high,low
Joe Carnahan,mid,profitable,low,mid-high,low
David Jacobson,low,not-profitable,low,mid-low,low
Mort Nathan,low,not-profitable,low,low,low
Michael Lembeck,mid,very-profitable,high,low,mid
Dewey Nicks,low,not-profitable,low,low,low
Wallace Wolodarsky,low,not-profitable,low,mid-low,low
Peter Hastings,low,not-profitable,low,low,low
Kevin Bray,low,not-profitable,low,mid-low,low
Stephen Gaghan,mid,not-profitable,low,mid-low,high
Robin Budd,low,very-profitable,low,mid-low,low
Mars Callahan,low,not-profitable,low,mid-high,low
Jaume Balagueró,low,profitable,low,mid-low,high
Bob Dolman,low,profitable,low,mid-low,low
Cathy Malkasian,low,profitable,low,mid-low,low
Seth Kearsley,low,not-profitable,low,low,low
Don Michael Paul,low,not-profitable,low,low,high
Wych Kaosayananda,low,not-profitable,low,low,low
Patricia Cardoso,low,profitable,low,mid-high,low
John Stainton,low,profitable,low,low,low
Tom Tykwer,mid,not-profitable,low,mid-high,mid
Richard Curtis,mid,very-profitable,high,high,low
Len Wiseman,mid,profitable,mid,mid-high,mid
Bong Joon Ho,mid,very-profitable,high,high,mid
Andrew Stanton,mid,very-profitable,high,high,high
Catherine Hardwicke,mid,profitable,high,mid-low,high
Rob Schmidt,low,profitable,low,mid-low,low
Patty Jenkins,low,very-profitable,mid,mid-high,low
Tommy Wiseau,low,not-profitable,low,low,low
Marcus Nispel,mid,very-profitable,high,mid-low,mid
Clark Johnson,low,not-profitable,low,mid-low,low
Rob Zombie,mid,profitable,mid,mid-low,high
Tim McCanlies,low,not-profitable,low,high,low
Chris Kentis,low,very-profitable,high,mid-low,low
Peter Webber,low,profitable,low,mid-high,mid
Bo Welch,low,not-profitable,low,low,low
Aaron Blaise,low,not-profitable,low,mid-high,low
David R. Ellis,mid,profitable,mid,mid-low,high
Audrey Wells,low,profitable,low,mid-high,low
Jonathan Liebesman,mid,profitable,low,mid-low,low
Bille Woodruff,low,profitable,low,low,low
James Cox,low,not-profitable,low,mid-high,low
Patrick Gilmore,low,not-profitable,low,mid-high,low
Uwe Boll,mid,not-profitable,low,low,high
Vadim Perelman,low,not-profitable,low,mid-high,high
Tom McCarthy,mid,very-profitable,high,high,low
Casey La Scala,low,not-profitable,low,mid-low,low
Billy Ray,low,not-profitable,low,mid-high,mid
Wayne Kramer,mid,not-profitable,mid,mid-high,low
Bruno Barreto,low,not-profitable,low,low,low
David Mackenzie,low,not-profitable,mid,mid-high,high
Sylvain Chomet,low,not-profitable,low,high,low
Paul Hunter,low,not-profitable,low,mid-low,low
Reggie Rock Bythewood,low,not-profitable,low,low,low
Gordon Chan,low,not-profitable,low,low,low
Fenton Bailey,low,not-profitable,low,mid-low,low
Glen Morgan,low,not-profitable,mid,low,high
C. Jay Cox,low,not-profitable,low,mid-high,low
Tim Fywell,low,not-profitable,low,mid-high,low
Steve Trenbirth,low,very-profitable,low,low,low
John Crowley,mid,profitable,mid,mid-high,mid
David Gordon Green,mid,very-profitable,high,mid-high,mid
Richard Kwietniowski,low,not-profitable,low,mid-high,low
Chris Rock,low,not-profitable,low,mid-low,mid
Peter Hedges,mid,very-profitable,high,mid-high,low
Damian Nieman,low,not-profitable,low,mid-low,low
John Eng,low,profitable,low,mid-low,low
Eric Till,low,not-profitable,low,mid-high,low
Ryan Little,low,not-profitable,low,mid-high,low
Gérard Krawczyk,low,very-profitable,low,mid-low,low
John Hoffman,low,profitable,low,low,low
Clare Kilner,low,profitable,mid,mid-low,mid
Jeff Schaffer,low,not-profitable,low,mid-high,low
Rawson Marshall Thurber,mid,very-profitable,mid,mid-high,mid
Michel Gondry,mid,profitable,mid,mid-high,high
James Wan,high,very-profitable,high,mid-high,mid
Jonathan Hensleigh,low,not-profitable,mid,mid-high,mid
Eric Bress,low,very-profitable,low,high,low
Jared Hess,mid,very-profitable,high,mid-low,mid
Gary Winick,mid,profitable,low,mid-low,mid
Paul Haggis,mid,very-profitable,high,mid-high,high
Paul Greengrass,mid,profitable,mid,high,mid
Zack Snyder,mid,profitable,mid,mid-high,mid
Alexander Witt,low,profitable,low,mid-low,low
Adam McKay,mid,profitable,mid,mid-high,mid
David S. Goyer,mid,profitable,mid,mid-low,high
Shane Carruth,low,very-profitable,high,mid-high,low
John Hamburg,mid,profitable,low,mid-high,mid
Stephen Hillenburg,low,very-profitable,low,mid-high,low
Ethan Coen,mid,very-profitable,mid,mid-high,mid
Terry George,low,not-profitable,mid,high,high
Zach Braff,mid,very-profitable,high,mid-high,mid
Pitof,low,not-profitable,low,low,low
Don Mancini,low,profitable,low,low,low
Joseph Kahn,low,not-profitable,low,low,low
Gurinder Chadha,low,profitable,mid,mid-high,mid
Joe Nussbaum,low,not-profitable,low,mid-low,mid
Richard Loncraine,low,not-profitable,low,mid-low,mid
Gavin O'Connor,mid,not-profitable,mid,high,mid
Paul McGuigan,mid,not-profitable,low,mid-high,high
Sara Sugarman,low,profitable,low,low,low
Kerry Conran,low,not-profitable,low,mid-low,low
Brian Dannelly,low,profitable,low,mid-high,low
Sean McNamara,mid,not-profitable,low,low,high
Beeban Kidron,low,very-profitable,low,mid-low,low
Jacob Estes,low,not-profitable,low,mid-high,mid
Guy Ferland,low,not-profitable,low,mid-low,low
Angela Robinson,low,not-profitable,mid,low,mid
Jessy Terrero,low,not-profitable,low,low,low
Jonathan Glazer,low,not-profitable,low,mid-low,low
Tod Williams,low,very-profitable,high,mid-low,high
Christopher Erskin,low,profitable,low,low,low
Will Finn,low,not-profitable,low,low,low
Timur Bekmambetov,mid,very-profitable,high,mid-low,mid
Chris Stokes,low,very-profitable,low,low,low
Kevin Spacey,low,not-profitable,low,mid-high,low
Michael Clancy,low,not-profitable,low,mid-high,low
Yash Chopra,low,not-profitable,low,high,low
Nick Hurran,low,not-profitable,low,low,low
Joshua Marston,low,very-profitable,low,high,low
Michael Dowse,mid,not-profitable,low,mid-high,mid
Bart Freundlich,low,not-profitable,low,low,low
Je-kyu Kang,low,very-profitable,low,high,low
Robert C. Ramirez,low,very-profitable,low,low,low
Judd Apatow,mid,very-profitable,mid,mid-high,mid
Joe Wright,mid,profitable,mid,mid-high,high
Frank Miller,mid,not-profitable,mid,mid-high,high
James McTeigue,mid,not-profitable,low,mid-high,high
Francis Lawrence,mid,very-profitable,mid,mid-high,low
Garth Jennings,low,very-profitable,high,mid-high,low
Joss Whedon,mid,very-profitable,high,high,mid
Rob McKittrick,low,very-profitable,low,mid-high,low
Jean-François Richet,low,not-profitable,low,mid-low,low
David Slade,mid,very-profitable,high,mid-low,high
Jaume Collet-Serra,mid,profitable,mid,mid-low,mid
Shane Black,mid,profitable,mid,mid-high,high
Fernando Meirelles,low,profitable,mid,mid-high,mid
Dave McKean,low,not-profitable,low,mid-high,low
Darren Lynn Bousman,mid,very-profitable,high,mid-low,low
Robert Schwentke,mid,profitable,mid,mid-low,mid
Andrew Douglas,low,very-profitable,low,mid-low,low
Breck Eisner,mid,not-profitable,low,mid-low,low
Rian Johnson,mid,very-profitable,high,mid-high,mid
Greg McLean,low,very-profitable,high,mid-low,low
Scott Derrickson,mid,very-profitable,high,mid-high,high
Susan Stroman,low,not-profitable,low,mid-low,low
Bruce Hunt,low,not-profitable,low,low,low
Ol Parker,low,profitable,high,mid-high,low
Thomas Bezucha,low,profitable,mid,mid-low,mid
Bennett Miller,mid,profitable,high,mid-high,low
Noah Baumbach,mid,profitable,high,mid-high,high
Hideo Nakata,low,profitable,low,low,low
Mike Bigelow,low,profitable,low,low,low
David Ayer,mid,profitable,mid,mid-high,high
Darren Grant,low,very-profitable,low,mid-low,low
Steve Box,low,very-profitable,low,high,low
John Maybury,low,not-profitable,low,mid-high,low
Jason Reitman,mid,very-profitable,high,mid-high,mid
Mikael Håfström,mid,profitable,mid,mid-high,mid
Florent-Emilio Siri,low,not-profitable,low,mid-high,low
Cory Edwards,low,profitable,low,mid-high,low
Tommy Lee Jones,low,not-profitable,low,mid-high,mid
John Gulager,low,not-profitable,mid,low,high
Jeff Wadlow,mid,very-profitable,high,mid-low,mid
John Hillcoat,mid,not-profitable,low,mid-high,mid
Craig Brewer,mid,profitable,high,mid-high,high
Richard Shepard,low,not-profitable,low,mid-high,low
Atom Egoyan,low,not-profitable,low,mid-high,low
Rebecca Miller,low,not-profitable,low,mid-high,low
Geoffrey Sax,low,very-profitable,low,mid-low,low
Niall Johnson,low,very-profitable,low,mid-high,low
Miranda July,low,very-profitable,low,mid-high,low
Duncan Tucker,low,very-profitable,low,high,low
Andy Garcia,low,not-profitable,low,mid-high,low
Arie Posin,low,not-profitable,low,mid-high,low
Gary Chapman,low,not-profitable,low,mid-low,low
Phil Morrison,low,profitable,low,mid-high,low
John Gatins,low,not-profitable,low,mid-high,low
Bent Hamer,low,profitable,low,mid-high,low
Liev Schreiber,low,not-profitable,low,high,low
Mike Mills,mid,profitable,mid,mid-high,mid
David Frankel,mid,very-profitable,high,mid-high,mid
Andy Fickman,mid,profitable,mid,mid-low,mid
Gabriele Muccino,mid,profitable,mid,mid-high,high
Jonathan Dayton,mid,very-profitable,high,mid-high,mid
Kevin Macdonald,mid,profitable,high,mid-high,high
Florian Henckel von Donnersmarck,low,very-profitable,high,mid-high,high
J.J. Abrams,mid,very-profitable,mid,mid-high,mid
Steve Pink,mid,not-profitable,low,mid-low,high
James Gunn,mid,profitable,mid,mid-high,high
Alexandre Aja,mid,very-profitable,mid,mid-low,mid
Liam Lynch,low,not-profitable,low,mid-high,low
Anne Fletcher,mid,very-profitable,high,mid-low,mid
Larry Charles,mid,very-profitable,high,mid-high,high
Mark Neveldine,mid,profitable,mid,mid-low,high
Neil Burger,mid,very-profitable,mid,mid-high,mid
Tim Johnson,low,profitable,low,mid-high,low
Elizabeth Allen Rosenbaum,low,not-profitable,low,mid-low,high
Stefen Fangmeier,low,profitable,low,low,low
Gil Kenan,mid,not-profitable,mid,mid-low,high
Greg Coolidge,low,profitable,low,mid-low,low
David Bowers,mid,profitable,mid,mid-low,high
Werner Herzog,low,not-profitable,low,mid-high,mid
Corey Yuen,low,not-profitable,low,low,low
Susannah Grant,low,not-profitable,low,mid-low,low
Alejandro Agresti,low,profitable,low,mid-high,low
Mark Palansky,low,not-profitable,low,mid-high,low
Carlos Saldanha,mid,very-profitable,mid,mid-high,low
William Brent Bell,mid,very-profitable,high,low,high
David Von Ancken,low,not-profitable,low,mid-high,low
Ericson Core,low,not-profitable,low,mid-low,high
Adam Green,low,not-profitable,low,mid-low,low
Tyler Perry,mid,profitable,high,low,mid
John Bonito,low,not-profitable,low,low,low
John Curran,low,not-profitable,low,mid-high,high
George Hickenlooper,low,not-profitable,low,mid-high,low
Doug Atchison,low,profitable,low,high,low
Aaron Seltzer,low,very-profitable,low,low,low
Anthony Russo,mid,very-profitable,mid,high,high
Matthew O'Callaghan,low,not-profitable,low,mid-high,low
Michael Mayer,low,not-profitable,low,mid-low,low
Goran Dukic,low,not-profitable,low,mid-high,low
Gregory Dark,low,profitable,low,low,low
Allen Coulter,low,profitable,mid,mid-high,mid
Chris Robinson,low,not-profitable,low,mid-low,low
Emilio Estevez,low,not-profitable,low,mid-high,low
Ryan Fleck,low,very-profitable,low,mid-high,low
Steve 'Spaz' Williams,low,not-profitable,low,low,low
Liz Friedlander,low,profitable,low,mid-high,low
Jim Sonzero,low,not-profitable,low,low,low
Michael Polish,low,not-profitable,low,mid-low,high
Nick Guthe,low,not-profitable,low,mid-low,low
Todd Robinson,low,not-profitable,low,mid-high,low
Colin Brady,low,not-profitable,low,mid-low,low
Kelly Reichardt,mid,profitable,mid,mid-high,low
Wil Shriner,low,not-profitable,low,mid-low,low
Matthew Vaughn,mid,profitable,mid,high,mid
Ben Affleck,mid,profitable,mid,mid-high,mid
Greg Mottola,mid,profitable,high,mid-high,high
David Yates,mid,very-profitable,high,mid-high,high
Juan Carlos Fresnadillo,low,very-profitable,low,mid-high,low
Xavier Gens,low,profitable,mid,mid-low,mid
Gabor Csupo,low,very-profitable,low,mid-high,low
Shari Springer Berman,low,not-profitable,mid,mid-low,low
Michael Haneke,mid,not-profitable,mid,high,high
Josh Gordon,mid,profitable,low,mid-low,low
Ash Brannon,low,not-profitable,low,mid-low,mid
Joby Harold,low,profitable,low,mid-high,low
Simon J. Smith,low,not-profitable,low,mid-low,low
Colin Strause,low,very-profitable,mid,low,low
Chris Miller,low,very-profitable,low,mid-low,mid
Andrew Dominik,low,not-profitable,mid,mid-high,high
Mark Helfrich,low,profitable,low,mid-low,low
Nacho Vigalondo,low,not-profitable,low,mid-high,high
Jason Friedberg,mid,profitable,mid,low,mid
Stephen J. Anderson,low,not-profitable,low,mid-high,low
Tony Gilroy,mid,profitable,mid,mid-high,mid
Oren Peli,low,very-profitable,low,mid-low,low
Richard LaGravenese,mid,profitable,mid,mid-high,high
Craig Gillespie,mid,not-profitable,mid,mid-high,mid
Mennan Yapo,low,very-profitable,low,mid-low,low
David Silverman,low,very-profitable,low,mid-high,low
Nimród Antal,low,profitable,low,mid-low,low
Steve Bendelack,low,very-profitable,low,mid-high,low
Bob Odenkirk,low,not-profitable,low,low,low
Kirsten Sheridan,low,profitable,low,high,low
Robert Ben Garant,low,profitable,low,mid-low,low
Michael Davis,low,not-profitable,low,mid-high,low
Scott Frank,low,not-profitable,mid,mid-high,mid
Olivier Dahan,low,profitable,low,high,low
John Carney,low,very-profitable,high,high,low
Philip G. Atwell,low,not-profitable,low,mid-low,low
Adrienne Shelly,low,very-profitable,low,mid-high,low
David L. Cunningham,low,not-profitable,low,low,low
Kevin Munroe,low,not-profitable,mid,mid-low,mid
Martin Weisz,low,profitable,low,low,low
Dave Meyers,low,profitable,low,mid-low,low
Julian Jarrold,low,not-profitable,mid,mid-high,low
Tom Brady,low,not-profitable,low,low,high
Tom Kalin,low,not-profitable,low,mid-low,low
José Padilha,low,profitable,low,mid-high,high
Danny Pang,low,profitable,mid,low,low
Franck Khalfoun,low,not-profitable,low,mid-low,low
Oliver Hirschbiegel,low,not-profitable,low,mid-low,low
Vincent Paronnaud,low,profitable,low,high,low
Chris Sivertson,low,not-profitable,low,low,low
Zach Helm,low,not-profitable,low,mid-low,low
Thor Freudenthal,mid,profitable,mid,mid-low,mid
Daniel Waters,low,not-profitable,low,mid-low,low
Jon Poll,low,not-profitable,low,mid-high,low
Doug Lefler,low,not-profitable,low,low,low
Sergei Bodrov,low,not-profitable,low,mid-low,high
Jonathan Kasdan,low,not-profitable,mid,mid-high,low
Gavin Hood,mid,not-profitable,low,mid-high,low
Sylvain White,mid,very-profitable,mid,low,high
Deborah Kampmeier,low,not-profitable,low,mid-low,low
Susanne Bier,low,not-profitable,low,mid-low,high
Mark Osborne,low,profitable,mid,high,low
Phyllida Lloyd,low,very-profitable,mid,mid-high,low
Bryan Bertino,low,very-profitable,low,mid-low,low
Pierre Morel,mid,profitable,high,mid-high,high
Nicholas Stoller,mid,very-profitable,high,mid-high,mid
Martin McDonagh,mid,very-profitable,high,high,mid
Michael Patrick King,low,very-profitable,mid,low,high
Fred Wolf,low,not-profitable,mid,low,low
Carter Smith,low,profitable,low,mid-low,low
Justin Chadwick,low,not-profitable,mid,mid-high,mid
Eric Brevig,low,profitable,mid,low,high
Byron Howard,low,very-profitable,high,high,high
Sean Anders,mid,profitable,mid,mid-low,mid
Mark Herman,low,profitable,low,high,low
Tomas Alfredson,low,profitable,mid,mid-high,high
Nick Moore,low,not-profitable,low,mid-low,low
Nicolas Winding Refn,mid,very-profitable,high,mid-high,high
Lexi Alexander,low,not-profitable,low,mid-low,low
Charlie Kaufman,low,not-profitable,low,high,low
Peter Sollett,low,profitable,low,mid-high,low
Neil Marshall,mid,not-profitable,low,mid-low,mid
Jon M. Chu,mid,very-profitable,high,mid-low,high
Kent Alterman,low,not-profitable,low,mid-low,low
Howard McCain,low,not-profitable,low,mid-low,low
David Hackl,low,very-profitable,low,mid-low,low
Jimmy Hayward,low,not-profitable,mid,mid-low,high
Diane English,low,profitable,low,low,low
Clark Gregg,low,not-profitable,low,mid-high,low
Ryûhei Kitamura,low,not-profitable,low,mid-low,low
Tom Vaughan,low,profitable,high,mid-low,low
Pete Travis,low,profitable,mid,mid-high,mid
Christine Jeffs,low,profitable,low,mid-high,low
Robert B. Weide,low,not-profitable,low,mid-high,low
Olivier Megaton,mid,very-profitable,mid,mid-low,low
Nelson McCormick,low,profitable,low,low,high
Dave Filoni,low,very-profitable,low,mid-low,low
Jon Hurwitz,low,very-profitable,low,mid-high,low
Michael McCullers,low,profitable,low,mid-low,low
Jennifer Flackett,low,profitable,low,mid-low,low
John Erick Dowdle,mid,very-profitable,mid,mid-low,mid
George C. Wolfe,low,profitable,low,mid-low,low
Seth Gordon,mid,profitable,mid,mid-low,mid
Sanaa Hamri,low,not-profitable,low,mid-low,low
Jee-woon Kim,low,profitable,mid,mid-high,high
Rodrigo García,low,not-profitable,low,mid-low,low
Masayuki Ochiai,low,very-profitable,low,low,low
Marcel Langenegger,low,not-profitable,low,mid-low,low
David Moreau,low,very-profitable,low,low,low
Marco Schnabel,low,not-profitable,low,low,low
Chris Carter,low,profitable,low,mid-low,low
Eric Valette,low,profitable,low,low,low
Alex Kendrick,mid,very-profitable,high,mid-high,low
Jeffrey Nachmanoff,low,not-profitable,low,mid-low,high
Darnell Martin,low,not-profitable,low,mid-high,low
Bruce McDonald,low,not-profitable,low,mid-high,low
Ari Folman,low,very-profitable,low,high,low
Guillermo Arriaga,low,not-profitable,low,mid-high,low
Sam Fell,low,not-profitable,low,mid-low,low
Marc Schölermann,low,not-profitable,low,mid-low,low
Tony Leondis,low,profitable,mid,low,high
Jonathan Levine,mid,profitable,mid,mid-high,high
Courtney Hunt,low,very-profitable,low,mid-high,low
S.R. Bindler,low,not-profitable,low,low,low
Jennifer Lynch,low,not-profitable,low,mid-low,low
Ruben Fleischer,mid,profitable,mid,mid-high,mid
Marc Webb,mid,very-profitable,mid,mid-high,mid
Neill Blomkamp,mid,profitable,mid,mid-high,high
Kyle Newman,low,not-profitable,low,mid-high,low
Duncan Jones,mid,profitable,mid,high,mid
Jaco Van Dormael,low,not-profitable,low,high,low
Gaspar Noé,low,not-profitable,low,mid-high,low
Will Gluck,mid,very-profitable,high,mid-low,mid
Drew Barrymore,low,not-profitable,low,mid-high,low
Juan José Campanella,low,very-profitable,low,high,low
Christian Alvart,low,not-profitable,low,mid-high,mid
Rob Letterman,mid,profitable,low,mid-low,high
Patrick Tatopoulos,low,profitable,low,mid-high,low
Peter Billingsley,low,profitable,low,mid-low,low
Dennis Iliadis,low,profitable,low,mid-high,low
